feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.6998150795338492
color,daisy,300,d1,0.6998150795338492
color,daisy,200,d1,0.6998150795338492
color,daisy,100,d1,0.6998150795338492
color,daisy,50,d1,0.6998150795338492
color,daisy,30,d1,0.703819553096468
color,daisy,10,d1,0.8233384964535757
color,daisy,5,d1,0.9129208754208755
color,daisy,3,d1,0.9545454545454546
color,daisy,1,d1,0.9393939393939394
color,edge,None,d1,0.44310301317532436
color,edge,300,d1,0.44310301317532436
color,edge,200,d1,0.44310301317532436
color,edge,100,d1,0.44310301317532436
color,edge,50,d1,0.44310301317532436
color,edge,30,d1,0.44069216240291303
color,edge,10,d1,0.45048128679081056
color,edge,5,d1,0.418560606060606
color,edge,3,d1,0.3611111111111111
color,edge,1,d1,0.3333333333333333
color,gabor,None,d1,0.7856083948731007
color,gabor,300,d1,0.7856083948731007
color,gabor,200,d1,0.7856083948731007
color,gabor,100,d1,0.7856083948731007
color,gabor,50,d1,0.7856083948731007
color,gabor,30,d1,0.7856083948731007
color,gabor,10,d1,0.8356183862433862
color,gabor,5,d1,0.8651234567901235
color,gabor,3,d1,0.8935185185185185
color,gabor,1,d1,0.8333333333333334
color,hog,None,d1,0.7749531242178301
color,hog,300,d1,0.7749531242178301
color,hog,200,d1,0.7749531242178301
color,hog,100,d1,0.7749531242178301
color,hog,50,d1,0.7749531242178301
color,hog,30,d1,0.7749531242178301
color,hog,10,d1,0.8176179453262787
color,hog,5,d1,0.8820216049382715
color,hog,3,d1,0.8842592592592592
color,hog,1,d1,0.8333333333333334
daisy,edge,None,d1,0.43527871528228274
daisy,edge,300,d1,0.43527871528228274
daisy,edge,200,d1,0.43527871528228274
daisy,edge,100,d1,0.43527871528228274
daisy,edge,50,d1,0.43527871528228274
daisy,edge,30,d1,0.43176811536021925
daisy,edge,10,d1,0.42817145376669186
daisy,edge,5,d1,0.3417929292929293
daisy,edge,3,d1,0.32070707070707066
daisy,edge,1,d1,0.30303030303030304
daisy,gabor,None,d1,0.7054671327220347
daisy,gabor,300,d1,0.7054671327220347
daisy,gabor,200,d1,0.7054671327220347
daisy,gabor,100,d1,0.7054671327220347
daisy,gabor,50,d1,0.7054671327220347
daisy,gabor,30,d1,0.7054671327220347
daisy,gabor,10,d1,0.755813492063492
daisy,gabor,5,d1,0.7955246913580248
daisy,gabor,3,d1,0.7870370370370371
daisy,gabor,1,d1,0.7222222222222222
daisy,hog,None,d1,0.7227571185169225
daisy,hog,300,d1,0.7227571185169225
daisy,hog,200,d1,0.7227571185169225
daisy,hog,100,d1,0.7227571185169225
daisy,hog,50,d1,0.7227571185169225
daisy,hog,30,d1,0.7227571185169225
daisy,hog,10,d1,0.7388470017636685
daisy,hog,5,d1,0.7681327160493828
daisy,hog,3,d1,0.824074074074074
daisy,hog,1,d1,0.7777777777777778
edge,gabor,None,d1,0.4507059498235968
edge,gabor,300,d1,0.4507059498235968
edge,gabor,200,d1,0.4507059498235968
edge,gabor,100,d1,0.4507059498235968
edge,gabor,50,d1,0.4507059498235968
edge,gabor,30,d1,0.4507059498235968
edge,gabor,10,d1,0.4646942974720753
edge,gabor,5,d1,0.44699074074074074
edge,gabor,3,d1,0.3703703703703704
edge,gabor,1,d1,0.3333333333333333
edge,hog,None,d1,0.4539988461066892
edge,hog,300,d1,0.4539988461066892
edge,hog,200,d1,0.4539988461066892
edge,hog,100,d1,0.4539988461066892
edge,hog,50,d1,0.4539988461066892
edge,hog,30,d1,0.4539988461066892
edge,hog,10,d1,0.46901087595532037
edge,hog,5,d1,0.4564814814814815
edge,hog,3,d1,0.40740740740740744
edge,hog,1,d1,0.3333333333333333
gabor,hog,None,d1,0.7341107730323415
gabor,hog,300,d1,0.7341107730323415
gabor,hog,200,d1,0.7341107730323415
gabor,hog,100,d1,0.7341107730323415
gabor,hog,50,d1,0.7341107730323415
gabor,hog,30,d1,0.7341107730323415
gabor,hog,10,d1,0.7705621693121693
gabor,hog,5,d1,0.8464506172839505
gabor,hog,3,d1,0.8472222222222222
gabor,hog,1,d1,0.7777777777777778
