feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.4474506907982046
color,daisy,edge,300,d1,0.4474506907982046
color,daisy,edge,200,d1,0.4474506907982046
color,daisy,edge,100,d1,0.4474506907982046
color,daisy,edge,50,d1,0.4474506907982046
color,daisy,edge,30,d1,0.4451199008596484
color,daisy,edge,10,d1,0.461497199890057
color,daisy,edge,5,d1,0.4226010101010101
color,daisy,edge,3,d1,0.37121212121212116
color,daisy,edge,1,d1,0.3333333333333333
color,daisy,gabor,None,d1,0.8311578154960508
color,daisy,gabor,300,d1,0.8311578154960508
color,daisy,gabor,200,d1,0.8311578154960508
color,daisy,gabor,100,d1,0.8311578154960508
color,daisy,gabor,50,d1,0.8311578154960508
color,daisy,gabor,30,d1,0.8311578154960508
color,daisy,gabor,10,d1,0.8789329805996472
color,daisy,gabor,5,d1,0.9310956790123456
color,daisy,gabor,3,d1,0.9907407407407408
color,daisy,gabor,1,d1,1.0
color,daisy,hog,None,d1,0.8199305478472145
color,daisy,hog,300,d1,0.8199305478472145
color,daisy,hog,200,d1,0.8199305478472145
color,daisy,hog,100,d1,0.8199305478472145
color,daisy,hog,50,d1,0.8199305478472145
color,daisy,hog,30,d1,0.8199305478472145
color,daisy,hog,10,d1,0.8648500881834216
color,daisy,hog,5,d1,0.9067901234567901
color,daisy,hog,3,d1,0.9629629629629629
color,daisy,hog,1,d1,0.9444444444444445
color,edge,gabor,None,d1,0.46648769349749747
color,edge,gabor,300,d1,0.46648769349749747
color,edge,gabor,200,d1,0.46648769349749747
color,edge,gabor,100,d1,0.46648769349749747
color,edge,gabor,50,d1,0.46648769349749747
color,edge,gabor,30,d1,0.46648769349749747
color,edge,gabor,10,d1,0.48774250440917105
color,edge,gabor,5,d1,0.481712962962963
color,edge,gabor,3,d1,0.4537037037037037
color,edge,gabor,1,d1,0.3333333333333333
color,edge,hog,None,d1,0.46913096797900716
color,edge,hog,300,d1,0.46913096797900716
color,edge,hog,200,d1,0.46913096797900716
color,edge,hog,100,d1,0.46913096797900716
color,edge,hog,50,d1,0.46913096797900716
color,edge,hog,30,d1,0.46913096797900716
color,edge,hog,10,d1,0.4907407407407407
color,edge,hog,5,d1,0.4871913580246914
color,edge,hog,3,d1,0.4537037037037037
color,edge,hog,1,d1,0.3333333333333333
color,gabor,hog,None,d1,0.8334413344462365
color,gabor,hog,300,d1,0.8334413344462365
color,gabor,hog,200,d1,0.8334413344462365
color,gabor,hog,100,d1,0.8334413344462365
color,gabor,hog,50,d1,0.8334413344462365
color,gabor,hog,30,d1,0.8334413344462365
color,gabor,hog,10,d1,0.8822619047619048
color,gabor,hog,5,d1,0.917283950617284
color,gabor,hog,3,d1,0.9351851851851851
color,gabor,hog,1,d1,0.9444444444444445
daisy,edge,gabor,None,d1,0.45902289613073927
daisy,edge,gabor,300,d1,0.45902289613073927
daisy,edge,gabor,200,d1,0.45902289613073927
daisy,edge,gabor,100,d1,0.45902289613073927
daisy,edge,gabor,50,d1,0.45902289613073927
daisy,edge,gabor,30,d1,0.45902289613073927
daisy,edge,gabor,10,d1,0.47261537330981773
daisy,edge,gabor,5,d1,0.4587962962962963
daisy,edge,gabor,3,d1,0.3703703703703704
daisy,edge,gabor,1,d1,0.3333333333333333
daisy,edge,hog,None,d1,0.45696100740218387
daisy,edge,hog,300,d1,0.45696100740218387
daisy,edge,hog,200,d1,0.45696100740218387
daisy,edge,hog,100,d1,0.45696100740218387
daisy,edge,hog,50,d1,0.45696100740218387
daisy,edge,hog,30,d1,0.45696100740218387
daisy,edge,hog,10,d1,0.47074514991181654
daisy,edge,hog,5,d1,0.46574074074074073
daisy,edge,hog,3,d1,0.3888888888888889
daisy,edge,hog,1,d1,0.3333333333333333
daisy,gabor,hog,None,d1,0.757606706111608
daisy,gabor,hog,300,d1,0.757606706111608
daisy,gabor,hog,200,d1,0.757606706111608
daisy,gabor,hog,100,d1,0.757606706111608
daisy,gabor,hog,50,d1,0.757606706111608
daisy,gabor,hog,30,d1,0.757606706111608
daisy,gabor,hog,10,d1,0.7974305555555555
daisy,gabor,hog,5,d1,0.8402006172839508
daisy,gabor,hog,3,d1,0.8333333333333334
daisy,gabor,hog,1,d1,0.8333333333333334
edge,gabor,hog,None,d1,0.4608467676114734
edge,gabor,hog,300,d1,0.4608467676114734
edge,gabor,hog,200,d1,0.4608467676114734
edge,gabor,hog,100,d1,0.4608467676114734
edge,gabor,hog,50,d1,0.4608467676114734
edge,gabor,hog,30,d1,0.4608467676114734
edge,gabor,hog,10,d1,0.47875881834215167
edge,gabor,hog,5,d1,0.46064814814814814
edge,gabor,hog,3,d1,0.3888888888888889
edge,gabor,hog,1,d1,0.3333333333333333
