feat0,feat1,feat2,feat3,depth,distance,MMAP
color,daisy,edge,gabor,None,d1,0.4781828501926541
color,daisy,edge,gabor,300,d1,0.4781828501926541
color,daisy,edge,gabor,200,d1,0.4781828501926541
color,daisy,edge,gabor,100,d1,0.4781828501926541
color,daisy,edge,gabor,50,d1,0.4781828501926541
color,daisy,edge,gabor,30,d1,0.4781828501926541
color,daisy,edge,gabor,10,d1,0.5055224867724868
color,daisy,edge,gabor,5,d1,0.5206018518518518
color,daisy,edge,gabor,3,d1,0.46296296296296297
color,daisy,edge,gabor,1,d1,0.3333333333333333
color,daisy,edge,hog,None,d1,0.479068485073387
color,daisy,edge,hog,300,d1,0.479068485073387
color,daisy,edge,hog,200,d1,0.479068485073387
color,daisy,edge,hog,100,d1,0.479068485073387
color,daisy,edge,hog,50,d1,0.479068485073387
color,daisy,edge,hog,30,d1,0.479068485073387
color,daisy,edge,hog,10,d1,0.5062169312169312
color,daisy,edge,hog,5,d1,0.5267746913580247
color,daisy,edge,hog,3,d1,0.46296296296296297
color,daisy,edge,hog,1,d1,0.3333333333333333
color,daisy,gabor,hog,None,d1,0.8662580166746833
color,daisy,gabor,hog,300,d1,0.8662580166746833
color,daisy,gabor,hog,200,d1,0.8662580166746833
color,daisy,gabor,hog,100,d1,0.8662580166746833
color,daisy,gabor,hog,50,d1,0.8662580166746833
color,daisy,gabor,hog,30,d1,0.8662580166746833
color,daisy,gabor,hog,10,d1,0.9072773368606702
color,daisy,gabor,hog,5,d1,0.9452932098765432
color,daisy,gabor,hog,3,d1,0.9814814814814815
color,daisy,gabor,hog,1,d1,1.0
color,edge,gabor,hog,None,d1,0.47287483304640165
color,edge,gabor,hog,300,d1,0.47287483304640165
color,edge,gabor,hog,200,d1,0.47287483304640165
color,edge,gabor,hog,100,d1,0.47287483304640165
color,edge,gabor,hog,50,d1,0.47287483304640165
color,edge,gabor,hog,30,d1,0.47287483304640165
color,edge,gabor,hog,10,d1,0.49671516754850087
color,edge,gabor,hog,5,d1,0.5017746913580247
color,edge,gabor,hog,3,d1,0.4537037037037037
color,edge,gabor,hog,1,d1,0.3333333333333333
daisy,edge,gabor,hog,None,d1,0.4616512409159468
daisy,edge,gabor,hog,300,d1,0.4616512409159468
daisy,edge,gabor,hog,200,d1,0.4616512409159468
daisy,edge,gabor,hog,100,d1,0.4616512409159468
daisy,edge,gabor,hog,50,d1,0.4616512409159468
daisy,edge,gabor,hog,30,d1,0.4616512409159468
daisy,edge,gabor,hog,10,d1,0.47690696649029984
daisy,edge,gabor,hog,5,d1,0.4703703703703704
daisy,edge,gabor,hog,3,d1,0.3888888888888889
daisy,edge,gabor,hog,1,d1,0.3333333333333333
